,id,optimizing_algo,loss_function,dropout_rate,batch_size,epochs,accuracy,MAE,F1
0,1,sgd,mae,0.05,64,20,0.5434782608695652,0.45652173913043476,0.7029379760609357
1,2,adam,mae,0.1,64,20,0.5434782608695652,0.45652173913043476,0.704225352112676
2,3,adagrad,mae,0.05,64,20,0.5418060200668896,0.45819397993311034,0.7021739130434782
3,4,adamax,binary_focal_crossentropy,0.1,64,20,0.5384615384615384,0.46153846153846156,0.5766871165644173
4,5,sgd,binary_focal_crossentropy,0.1,64,20,0.5301003344481605,0.4698996655518395,0.5518341307814992
5,6,adam,binary_focal_crossentropy,0.15,64,20,0.5016722408026756,0.4983277591973244,0.5754985754985754
6,7,adagrad,mae,0.1,64,20,0.5367892976588629,0.46321070234113715,0.6533166458072591
7,8,adamax,binary_focal_crossentropy,0.15,64,20,0.5050167224080268,0.49498327759197325,0.6262626262626262
8,9,sgd,binary_crossentropy,0.15,64,20,0.49665551839464883,0.5033444816053512,0.5893587994542974
9,10,adam,binary_crossentropy,0.2,64,20,0.4866220735785953,0.5133779264214047,0.6260657734470159
10,11,adagrad,hinge,0.2,64,20,0.5267558528428093,0.47324414715719065,0.6866002214839423
11,12,adamax,binary_crossentropy,0.15,64,20,0.540133779264214,0.459866220735786,0.6442432082794307
12,13,sgd,hinge,0.2,64,20,0.5434782608695652,0.45652173913043476,0.704225352112676
13,14,adam,hinge,0.05,64,20,0.5434782608695652,0.45652173913043476,0.704225352112676
14,15,adagrad,hinge,0.05,64,20,0.5434782608695652,0.45652173913043476,0.704225352112676
15,16,adamax,binary_crossentropy,0.2,64,20,0.5217391304347826,0.4782608695652174,0.661137440758294
16,17,sgd,mae,0.05,64,30,0.5434782608695652,0.45652173913043476,0.704225352112676
17,18,adam,mae,0.1,64,30,0.5434782608695652,0.45652173913043476,0.704225352112676
18,19,adagrad,mae,0.05,64,30,0.5451505016722408,0.45484949832775917,0.7049891540130151
19,20,adamax,binary_focal_crossentropy,0.1,64,30,0.5250836120401338,0.47491638795986624,0.6349614395886889
20,21,sgd,binary_focal_crossentropy,0.1,64,30,0.49665551839464883,0.5033444816053512,0.37681159420289856
21,22,adam,binary_focal_crossentropy,0.15,64,30,0.45819397993311034,0.5418060200668896,0.5410764872521246
22,23,adagrad,mae,0.1,64,30,0.540133779264214,0.459866220735786,0.6987951807228916
23,24,adamax,binary_focal_crossentropy,0.15,64,30,0.5250836120401338,0.47491638795986624,0.6386768447837151
24,25,sgd,binary_crossentropy,0.15,64,30,0.568561872909699,0.431438127090301,0.6683804627249358
25,26,adam,binary_crossentropy,0.2,64,30,0.46153846153846156,0.5384615384615384,0.5464788732394367
26,27,adagrad,hinge,0.2,64,30,0.5551839464882943,0.44481605351170567,0.7057522123893805
27,28,adamax,binary_crossentropy,0.15,64,30,0.5083612040133779,0.4916387959866221,0.5994550408719346
28,29,sgd,hinge,0.2,64,30,0.5434782608695652,0.45652173913043476,0.704225352112676
29,30,adam,hinge,0.05,64,30,0.5418060200668896,0.45819397993311034,0.702819956616052
30,31,adagrad,hinge,0.05,64,30,0.540133779264214,0.459866220735786,0.6994535519125683
31,32,adamax,binary_crossentropy,0.2,64,30,0.5267558528428093,0.47324414715719065,0.5928057553956835
32,33,sgd,mae,0.05,32,20,0.540133779264214,0.459866220735786,0.7007616974972796
33,34,adam,mae,0.1,32,20,0.5418060200668896,0.45819397993311034,0.702819956616052
34,35,adagrad,mae,0.05,32,20,0.5351170568561873,0.46488294314381273,0.6911111111111111
35,36,adamax,binary_focal_crossentropy,0.1,32,20,0.5117056856187291,0.4882943143812709,0.6322418136020151
36,37,sgd,binary_focal_crossentropy,0.1,32,20,0.5150501672240803,0.48494983277591974,0.6204188481675392
37,38,adam,binary_focal_crossentropy,0.15,32,20,0.5066889632107023,0.49331103678929766,0.5964432284541724
38,39,adagrad,mae,0.1,32,20,0.5451505016722408,0.45484949832775917,0.7043478260869565
39,40,adamax,binary_focal_crossentropy,0.15,32,20,0.5133779264214047,0.4866220735785953,0.6030013642564802
40,41,sgd,binary_crossentropy,0.15,32,20,0.5133779264214047,0.4866220735785953,0.5158069883527455
41,42,adam,binary_crossentropy,0.2,32,20,0.5284280936454849,0.47157190635451507,0.6061452513966481
42,43,adagrad,hinge,0.2,32,20,0.5284280936454849,0.47157190635451507,0.6831460674157304
43,44,adamax,binary_crossentropy,0.15,32,20,0.49665551839464883,0.5033444816053512,0.5500747384155455
44,45,sgd,hinge,0.2,32,20,0.5434782608695652,0.45652173913043476,0.704225352112676
45,46,adam,hinge,0.05,32,20,0.5434782608695652,0.45652173913043476,0.704225352112676
46,47,adagrad,hinge,0.05,32,20,0.5150501672240803,0.48494983277591974,0.6143617021276596
47,48,adamax,binary_crossentropy,0.2,32,20,0.5434782608695652,0.45652173913043476,0.6285714285714286
48,49,sgd,mae,0.05,32,30,0.5434782608695652,0.45652173913043476,0.704225352112676
49,50,adam,mae,0.1,32,30,0.5434782608695652,0.45652173913043476,0.704225352112676
50,51,adagrad,mae,0.05,32,30,0.5484949832775919,0.451505016722408,0.6823529411764706
